componente,ano4,codusu,nro_hogar,Sexo,ch06,ch07,ch08,nivel_ed,estado,cat_ocup,cat_inac,itf,ipcf,pp07h,pp03c,p47t,p21,pp03g,Edad,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,ch10,ch12,ch13,ch14,educ,itf_2025,linea_pobreza,pp3e_tot,pp3f_tot,ch03,horastrab,ix_tot
7.0,2005,126856,1,Mujer,9,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,1500.0,107.14285714285714,,,0.0,0.0,,9 años,0.69,10.23,2097.8661,1,81,1,1,2,3.0,0.0,1574236.3212611952,2201691.341175047,0.0,0.0,3,0.0,14.0
8.0,2005,126856,1,Varón,7,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,1500.0,107.14285714285714,,,0.0,0.0,,7 años,0.66,10.23,2097.8661,1,49,1,1,2,2.0,0.0,1574236.3212611952,2201691.341175047,0.0,0.0,3,0.0,14.0
10.0,2005,126856,1,Mujer,0,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1500.0,107.14285714285714,,,0.0,0.0,,0 años,0.35,10.23,2097.8661,1,0,0,0,0,,0.0,1574236.3212611952,2201691.341175047,0.0,0.0,5,0.0,14.0
11.0,2005,126856,1,Mujer,20,Unido,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,1500.0,107.14285714285714,,,0.0,0.0,,18 a 29 años,0.76,10.23,2097.8661,1,400,2,1,1,,1.0,1574236.3212611952,2201691.341175047,0.0,0.0,3,0.0,14.0
12.0,2005,126856,1,Mujer,2,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1500.0,107.14285714285714,,,0.0,0.0,,2 años,0.46,10.23,2097.8661,1,4,3,0,0,,0.0,1574236.3212611952,2201691.341175047,0.0,0.0,5,0.0,14.0
13.0,2005,126856,1,Mujer,1,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,1500.0,107.14285714285714,,,0.0,0.0,,1 años,0.37,10.23,2097.8661,1,1,0,0,0,,0.0,1574236.3212611952,2201691.341175047,0.0,0.0,5,0.0,14.0
14.0,2005,126856,1,Mujer,26,Soltero,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,1500.0,107.14285714285714,No,...un sólo empleo/ocupación/actividad?,100.0,100.0,No,18 a 29 años,0.76,10.23,2097.8661,1,676,2,1,1,,1.0,1574236.3212611952,2201691.341175047,5.0,0.0,3,5.0,14.0
15.0,2005,126856,1,Varón,24,Unido,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Obrero o empleado,,1500.0,107.14285714285714,No,...un sólo empleo/ocupación/actividad?,200.0,200.0,No,18 a 29 años,1.02,10.23,2097.8661,1,576,2,4,2,3.0,11.0,1574236.3212611952,2201691.341175047,35.0,0.0,4,35.0,14.0
1.0,2005,126864,1,Varón,43,Soltero,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,600.0,600.0,,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,1.0,1.0,205.07,0,1849,2,1,1,,1.0,629694.528504478,215219.09493402217,20.0,0.0,1,20.0,1.0
1.0,2005,127278,1,Mujer,34,Separado o divorciado,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,220.0,55.0,,,220.0,0.0,,30 a 45 años,0.77,2.81,576.2467,1,1156,1,4,2,3.0,11.0,230887.9937849753,604765.6567646024,0.0,0.0,1,0.0,4.0
2.0,2005,127278,1,Mujer,12,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,220.0,55.0,,,0.0,0.0,,12 años,0.74,2.81,576.2467,1,144,1,4,2,0.0,8.0,230887.9937849753,604765.6567646024,0.0,0.0,3,0.0,4.0
3.0,2005,127278,1,Mujer,10,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,220.0,55.0,,,0.0,0.0,,10 años,0.7,2.81,576.2467,1,100,1,1,2,4.0,0.0,230887.9937849753,604765.6567646024,0.0,0.0,3,0.0,4.0
4.0,2005,127278,1,Mujer,5,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,220.0,55.0,,,0.0,0.0,,5 años,0.6,2.81,576.2467,1,25,1,0,2,0.0,,230887.9937849753,604765.6567646024,0.0,0.0,3,0.0,4.0
1.0,2005,127423,1,Varón,35,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,350.0,87.5,,...un sólo empleo/ocupación/actividad?,200.0,200.0,No,30 a 45 años,1.0,3.01,617.2606999999999,1,1225,2,1,1,,1.0,367321.80829427886,647809.4757514067,35.0,0.0,1,35.0,4.0
2.0,2005,127423,1,Mujer,26,Unido,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,350.0,87.5,No,...un sólo empleo/ocupación/actividad?,150.0,150.0,No,18 a 29 años,0.76,3.01,617.2606999999999,1,676,2,1,1,,1.0,367321.80829427886,647809.4757514067,20.0,0.0,2,20.0,4.0
3.0,2005,127423,1,Mujer,10,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,350.0,87.5,,,0.0,0.0,,10 años,0.7,3.01,617.2606999999999,1,100,1,1,2,4.0,0.0,367321.80829427886,647809.4757514067,0.0,0.0,3,0.0,4.0
4.0,2005,127423,1,Varón,4,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,350.0,87.5,,,0.0,0.0,,4 años,0.55,3.01,617.2606999999999,1,16,1,0,2,0.0,,367321.80829427886,647809.4757514067,0.0,0.0,3,0.0,4.0
1.0,2005,127851,1,Varón,35,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,1200.0,400.0,Sí,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,1.0,2.12,434.7484,0,1225,2,4,1,,13.0,1259389.057008956,456264.48126012704,90.0,0.0,1,,3.0
2.0,2005,127851,1,Mujer,32,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,1200.0,400.0,Sí,...un sólo empleo/ocupación/actividad?,600.0,600.0,Sí,30 a 45 años,0.77,2.12,434.7484,0,1024,2,6,1,,16.0,1259389.057008956,456264.48126012704,20.0,0.0,2,20.0,3.0
3.0,2005,127851,1,Mujer,0,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1200.0,400.0,,,0.0,0.0,,0 años,0.35,2.12,434.7484,0,0,0,0,0,,0.0,1259389.057008956,456264.48126012704,0.0,0.0,3,0.0,3.0
1.0,2005,127958,1,Mujer,45,Soltero,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,2000.0,2000.0,Sí,,2000.0,2000.0,No,30 a 45 años,0.77,0.77,157.9039,0,2025,2,7,1,,19.0,2098981.7616815935,165718.70309919707,0.0,0.0,1,0.0,1.0
1.0,2005,127980,1,Varón,60,Unido,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Cuenta propia,,200.0,50.0,,...un sólo empleo/ocupación/actividad?,200.0,200.0,No,46 a 60 años,1.0,3.81,781.3167,1,3600,2,4,2,3.0,11.0,209898.17616815935,819984.7516986246,54.0,0.0,1,54.0,4.0
2.0,2005,127980,1,Mujer,56,Unido,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,200.0,50.0,,,0.0,0.0,,46 a 60 años,0.76,3.81,781.3167,1,3136,1,1,2,6.0,0.0,209898.17616815935,819984.7516986246,0.0,0.0,2,0.0,4.0
3.0,2005,127980,1,Varón,20,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,200.0,50.0,,,0.0,0.0,,18 a 29 años,1.02,3.81,781.3167,1,400,1,4,2,4.0,12.0,209898.17616815935,819984.7516986246,0.0,0.0,3,0.0,4.0
4.0,2005,127980,1,Varón,16,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,200.0,50.0,,,0.0,0.0,,16 años,1.03,3.81,781.3167,1,256,1,4,2,3.0,11.0,209898.17616815935,819984.7516986246,0.0,0.0,3,0.0,4.0
1.0,2005,129401,1,Varón,49,Soltero,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Obrero o empleado,,120.0,120.0,No,...un sólo empleo/ocupación/actividad?,120.0,120.0,No,46 a 60 años,1.0,1.0,205.07,1,2401,2,4,2,4.0,12.0,125938.90570089562,215219.09493402217,25.0,0.0,1,25.0,1.0
1.0,2005,129898,1,Varón,65,Unido,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Jubilado/pensionado,400.0,200.0,,,400.0,0.0,,61 a 75 años,0.83,1.5,307.605,0,4225,2,4,2,5.0,13.0,419796.3523363187,322828.6424010333,0.0,0.0,1,0.0,2.0
2.0,2005,129898,1,Mujer,72,Unido,No paga ni le descuentan,Primaria Completa,Inactivo,,Ama de casa,400.0,200.0,,,0.0,0.0,,61 a 75 años,0.67,1.5,307.605,0,5184,2,1,1,,1.0,419796.3523363187,322828.6424010333,0.0,0.0,2,0.0,2.0
1.0,2005,129911,1,Varón,43,Separado o divorciado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,600.0,600.0,Sí,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,1.0,1.0,205.07,0,1849,2,4,1,,13.0,629694.528504478,215219.09493402217,60.0,0.0,1,60.0,1.0
1.0,2005,130675,1,Mujer,53,Casado,No paga ni le descuentan,Secundaria Completa,Ocupado,Cuenta propia,,4000.0,2000.0,,...un sólo empleo/ocupación/actividad?,2000.0,2000.0,No,46 a 60 años,0.76,1.59,326.0613,0,2809,2,4,1,,13.0,4197963.523363187,342198.3609450953,72.0,0.0,1,72.0,2.0
2.0,2005,130675,1,Varón,65,Casado,No paga ni le descuentan,Secundaria Completa,Ocupado,Cuenta propia,,4000.0,2000.0,,...un sólo empleo/ocupación/actividad?,2000.0,2000.0,No,61 a 75 años,0.83,1.59,326.0613,0,4225,2,4,1,,13.0,4197963.523363187,342198.3609450953,60.0,0.0,2,60.0,2.0
1.0,2005,130879,1,Mujer,51,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,300.0,100.0,No,...un sólo empleo/ocupación/actividad?,150.0,150.0,No,46 a 60 años,0.76,2.22,455.2554,1,2601,2,1,1,,1.0,314847.264252239,477786.39075352927,20.0,0.0,1,20.0,3.0
2.0,2005,130879,1,Varón,30,Soltero,No paga ni le descuentan,Primaria Completa,Desocupado,Obrero o empleado,,300.0,100.0,,,0.0,0.0,,30 a 45 años,1.0,2.22,455.2554,1,900,2,1,1,,1.0,314847.264252239,477786.39075352927,0.0,0.0,3,0.0,3.0
3.0,2005,130879,1,Varón,2,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,300.0,100.0,,,150.0,0.0,,2 años,0.46,2.22,455.2554,1,4,3,0,0,,0.0,314847.264252239,477786.39075352927,0.0,0.0,5,0.0,3.0
1.0,2005,132717,1,Mujer,29,Soltero,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Obrero o empleado,,380.0,190.0,No,...un sólo empleo/ocupación/actividad?,180.0,180.0,No,18 a 29 años,0.76,1.52,311.7064,0,841,1,4,2,2.0,10.0,398806.5347195028,327133.0242997137,40.0,0.0,1,40.0,2.0
2.0,2005,132717,1,Mujer,23,Soltero,No paga ni le descuentan,Secundaria Incompleta,Ocupado,Obrero o empleado,,380.0,190.0,No,...un sólo empleo/ocupación/actividad?,200.0,200.0,No,18 a 29 años,0.76,1.52,311.7064,0,529,1,4,2,2.0,10.0,398806.5347195028,327133.0242997137,40.0,0.0,8,40.0,2.0
1.0,2005,133445,1,Mujer,31,Casado,Obra social (incluye PAMI),Secundaria Completa,Inactivo,,Ama de casa,2010.0,502.5,,,520.0,0.0,,30 a 45 años,0.77,3.22,660.3254,0,961,2,4,1,,13.0,2109476.6704900013,693005.4856875514,0.0,0.0,1,0.0,4.0
2.0,2005,133445,1,Varón,36,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,2010.0,502.5,Sí,...más de un empleo/ocupación/actividad?,1490.0,900.0,No,30 a 45 años,1.0,3.22,660.3254,0,1296,2,4,1,,13.0,2109476.6704900013,693005.4856875514,45.0,3.0,2,48.0,4.0
3.0,2005,133445,1,Mujer,14,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,2010.0,502.5,,,0.0,0.0,,14 años,0.76,3.22,660.3254,0,196,1,4,2,1.0,9.0,2109476.6704900013,693005.4856875514,0.0,0.0,3,0.0,4.0
4.0,2005,133445,1,Varón,9,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,2010.0,502.5,,,0.0,0.0,,9 años,0.69,3.22,660.3254,0,81,1,1,2,3.0,0.0,2109476.6704900013,693005.4856875514,0.0,0.0,3,0.0,4.0
1.0,2005,133850,1,Varón,54,Unido,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,2750.0,916.6666666666666,Sí,...un sólo empleo/ocupación/actividad?,1500.0,1000.0,Sí,46 a 60 años,1.0,2.53,518.8271000000001,0,2916,2,4,1,,13.0,2886099.922312191,544504.3101830762,67.0,0.0,1,67.0,3.0
2.0,2005,133850,1,Mujer,43,Unido,No paga ni le descuentan,Secundaria Completa,Ocupado,Obrero o empleado,,2750.0,916.6666666666666,Sí,...un sólo empleo/ocupación/actividad?,750.0,500.0,Sí,30 a 45 años,0.77,2.53,518.8271000000001,0,1849,2,4,1,,13.0,2886099.922312191,544504.3101830762,42.0,0.0,2,42.0,3.0
3.0,2005,133850,1,Mujer,22,Soltero,No paga ni le descuentan,Secundaria Completa,Ocupado,Obrero o empleado,,2750.0,916.6666666666666,No,...un sólo empleo/ocupación/actividad?,500.0,500.0,Sí,18 a 29 años,0.76,2.53,518.8271000000001,0,484,2,4,1,,13.0,2886099.922312191,544504.3101830762,24.0,0.0,3,24.0,3.0
1.0,2005,136724,1,Mujer,76,Viudo,Obra social (incluye PAMI),Sin instrucción,Inactivo,,Jubilado/pensionado,630.0,126.0,,,180.0,0.0,,más de 75 años,0.63,3.46,709.5422,1,5776,3,0,0,,0.0,661179.2549297019,744658.0684717167,0.0,0.0,1,0.0,5.0
2.0,2005,136724,1,Mujer,56,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,630.0,126.0,,,0.0,0.0,,46 a 60 años,0.76,3.46,709.5422,1,3136,1,1,2,2.0,0.0,661179.2549297019,744658.0684717167,0.0,0.0,3,0.0,5.0
3.0,2005,136724,1,Mujer,18,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,630.0,126.0,,,150.0,0.0,,18 a 29 años,0.76,3.46,709.5422,1,324,1,4,2,0.0,8.0,661179.2549297019,744658.0684717167,0.0,0.0,5,0.0,5.0
4.0,2005,136724,1,Mujer,18,Soltero,No paga ni le descuentan,Secundaria Incompleta,Desocupado,Obrero o empleado,,630.0,126.0,,,300.0,0.0,,18 a 29 años,0.76,3.46,709.5422,1,324,1,4,2,0.0,8.0,661179.2549297019,744658.0684717167,0.0,0.0,5,0.0,5.0
5.0,2005,136724,1,Varón,4,Soltero,No paga ni le descuentan,Sin instrucción,Menor de 10 años,,Menor de 6 años,630.0,126.0,,,0.0,0.0,,4 años,0.55,3.46,709.5422,1,16,3,0,0,,0.0,661179.2549297019,744658.0684717167,0.0,0.0,9,0.0,5.0
1.0,2005,137132,1,Varón,37,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,1900.0,475.0,Sí,...un sólo empleo/ocupación/actividad?,1300.0,1300.0,No,30 a 45 años,1.0,3.73,764.9110999999999,0,1369,2,4,1,,13.0,1994032.673597514,802767.2241039027,40.0,0.0,1,40.0,4.0
2.0,2005,137132,1,Mujer,37,Casado,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,1900.0,475.0,Sí,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,0.77,3.73,764.9110999999999,0,1369,2,4,1,,13.0,1994032.673597514,802767.2241039027,44.0,0.0,2,44.0,4.0
3.0,2005,137132,1,Varón,15,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,1900.0,475.0,,,0.0,0.0,,15 años,1.0,3.73,764.9110999999999,0,225,1,4,2,3.0,11.0,1994032.673597514,802767.2241039027,0.0,0.0,3,0.0,4.0
4.0,2005,137132,1,Varón,14,Soltero,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Estudiante,1900.0,475.0,,,0.0,0.0,,14 años,0.96,3.73,764.9110999999999,0,196,1,4,2,1.0,9.0,1994032.673597514,802767.2241039027,0.0,0.0,3,0.0,4.0
1.0,2005,138438,1,Varón,44,Unido,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Cuenta propia,,1800.0,360.0,,...un sólo empleo/ocupación/actividad?,800.0,800.0,No,30 a 45 años,1.0,3.58,734.1505999999999,0,1936,2,4,2,3.0,11.0,1889083.5855134341,770484.3598637994,72.0,0.0,1,72.0,5.0
2.0,2005,138438,1,Mujer,34,Unido,Obra social (incluye PAMI),Secundaria Completa,Ocupado,Obrero o empleado,,1800.0,360.0,Sí,...un sólo empleo/ocupación/actividad?,1000.0,1000.0,No,30 a 45 años,0.77,3.58,734.1505999999999,0,1156,2,4,1,,13.0,1889083.5855134341,770484.3598637994,40.0,0.0,2,40.0,5.0
3.0,2005,138438,1,Mujer,7,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,1800.0,360.0,,,0.0,0.0,,7 años,0.66,3.58,734.1505999999999,0,49,1,1,2,1.0,0.0,1889083.5855134341,770484.3598637994,0.0,0.0,3,0.0,5.0
4.0,2005,138438,1,Mujer,5,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Menor de 6 años,1800.0,360.0,,,0.0,0.0,,5 años,0.6,3.58,734.1505999999999,0,25,1,1,2,0.0,0.0,1889083.5855134341,770484.3598637994,0.0,0.0,3,0.0,5.0
5.0,2005,138438,1,Mujer,4,Soltero,Obra social (incluye PAMI),Sin instrucción,Menor de 10 años,,Menor de 6 años,1800.0,360.0,,,0.0,0.0,,4 años,0.55,3.58,734.1505999999999,0,16,3,0,0,,0.0,1889083.5855134341,770484.3598637994,0.0,0.0,3,0.0,5.0
1.0,2005,139256,1,Varón,59,Casado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Ocupado,Obrero o empleado,,1500.0,750.0,Sí,...un sólo empleo/ocupación/actividad?,1500.0,1500.0,No,46 a 60 años,1.0,1.76,360.9232,0,3481,2,6,2,2.0,15.0,1574236.3212611952,378785.60708387906,35.0,0.0,1,35.0,2.0
2.0,2005,139256,1,Mujer,57,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Ama de casa,1500.0,750.0,,,0.0,0.0,,46 a 60 años,0.76,1.76,360.9232,0,3249,2,4,2,3.0,11.0,1574236.3212611952,378785.60708387906,0.0,0.0,2,0.0,2.0
1.0,2005,139367,1,Varón,68,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Inactivo,,Jubilado/pensionado,1900.0,633.3333333333334,,,600.0,0.0,,61 a 75 años,0.83,2.13,436.7991,0,4624,2,4,2,2.0,10.0,1994032.673597514,458416.6722094673,0.0,0.0,1,0.0,3.0
2.0,2005,139367,1,Mujer,69,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Inactivo,,Jubilado/pensionado,1900.0,633.3333333333334,,,1000.0,0.0,,61 a 75 años,0.67,2.13,436.7991,0,4761,2,6,1,,16.0,1994032.673597514,458416.6722094673,0.0,0.0,2,0.0,3.0
3.0,2005,139367,1,Mujer,78,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Jubilado/pensionado,1900.0,633.3333333333334,,,300.0,0.0,,más de 75 años,0.63,2.13,436.7991,0,6084,2,1,2,99.0,0.0,1994032.673597514,458416.6722094673,0.0,0.0,9,0.0,3.0
1.0,2005,139439,1,Mujer,59,Separado o divorciado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,1700.0,850.0,Sí,,1700.0,1400.0,Sí,46 a 60 años,0.76,1.52,311.7064,0,3481,2,4,2,4.0,12.0,1784134.4974293546,327133.0242997137,0.0,0.0,1,0.0,2.0
4.0,2005,139439,1,Mujer,24,Soltero,No paga ni le descuentan,Superior Universitaria Incompleta,Inactivo,,Estudiante,1700.0,850.0,,,0.0,0.0,,18 a 29 años,0.76,1.52,311.7064,0,576,1,7,2,1.0,14.0,1784134.4974293546,327133.0242997137,0.0,0.0,3,0.0,2.0
1.0,2005,139599,1,Mujer,41,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Ocupado,Obrero o empleado,,400.0,133.33333333333334,No,...un sólo empleo/ocupación/actividad?,400.0,0.0,Sí,30 a 45 años,0.77,2.3,471.661,1,1681,2,1,1,,1.0,419796.3523363187,495003.918348251,3.0,0.0,1,3.0,3.0
3.0,2005,139599,1,Mujer,17,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,400.0,133.33333333333334,,,0.0,0.0,,17 años,0.77,2.3,471.661,1,289,1,4,2,4.0,12.0,419796.3523363187,495003.918348251,0.0,0.0,3,0.0,3.0
4.0,2005,139599,1,Mujer,14,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,400.0,133.33333333333334,,,0.0,0.0,,14 años,0.76,2.3,471.661,1,196,1,4,2,1.0,9.0,419796.3523363187,495003.918348251,0.0,0.0,3,0.0,3.0
1.0,2005,139722,1,Varón,39,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,3720.0,1240.0,Sí,...más de un empleo/ocupación/actividad?,2800.0,2300.0,No,30 a 45 años,1.0,2.45,502.4215,0,1521,2,7,1,,19.0,3904106.0767277637,527286.7825883543,40.0,20.0,1,60.0,3.0
2.0,2005,139722,1,Mujer,34,Casado,Obra social (incluye PAMI),Superior Universitaria Completa,Ocupado,Obrero o empleado,,3720.0,1240.0,Sí,,920.0,920.0,No,30 a 45 años,0.77,2.45,502.4215,0,1156,2,6,1,,16.0,3904106.0767277637,527286.7825883543,0.0,0.0,2,0.0,3.0
3.0,2005,139722,1,Mujer,8,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,3720.0,1240.0,,,0.0,0.0,,8 años,0.68,2.45,502.4215,0,64,1,1,2,3.0,0.0,3904106.0767277637,527286.7825883543,0.0,0.0,3,0.0,3.0
1.0,2005,142981,1,Varón,57,Unido,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,450.0,112.5,Sí,...un sólo empleo/ocupación/actividad?,300.0,300.0,No,46 a 60 años,1.0,3.1,635.717,1,3249,2,1,2,1.0,0.0,472270.89637835854,667179.1942954687,35.0,0.0,1,35.0,4.0
2.0,2005,142981,1,Mujer,29,Unido,Obra social (incluye PAMI),Primaria Completa,Ocupado,Obrero o empleado,,450.0,112.5,No,...un sólo empleo/ocupación/actividad?,150.0,150.0,Sí,18 a 29 años,0.76,3.1,635.717,1,841,2,1,1,,1.0,472270.89637835854,667179.1942954687,20.0,0.0,2,20.0,4.0
5.0,2005,142981,1,Varón,8,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,450.0,112.5,,,0.0,0.0,,8 años,0.68,3.1,635.717,1,64,1,1,2,1.0,0.0,472270.89637835854,667179.1942954687,0.0,0.0,3,0.0,4.0
6.0,2005,142981,1,Mujer,7,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Menor de 10 años,,Estudiante,450.0,112.5,,,0.0,0.0,,7 años,0.66,3.1,635.717,1,49,1,1,2,1.0,0.0,472270.89637835854,667179.1942954687,0.0,0.0,3,0.0,4.0
1.0,2005,143179,1,Varón,31,Casado,Obra social (incluye PAMI),Secundaria Incompleta,Ocupado,Obrero o empleado,,600.0,200.0,Sí,...un sólo empleo/ocupación/actividad?,600.0,600.0,No,30 a 45 años,1.0,2.59,531.1312999999999,0,961,2,4,2,4.0,12.0,629694.528504478,557417.4558791174,53.0,0.0,1,53.0,3.0
2.0,2005,143179,1,Mujer,32,Casado,Obra social (incluye PAMI),Superior Universitaria Incompleta,Inactivo,,Ama de casa,600.0,200.0,,,0.0,0.0,,30 a 45 años,0.77,2.59,531.1312999999999,0,1024,2,6,2,2.0,15.0,629694.528504478,557417.4558791174,0.0,0.0,2,0.0,3.0
3.0,2005,143179,1,Varón,11,Soltero,Obra social (incluye PAMI),Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,600.0,200.0,,,0.0,0.0,,11 años,0.82,2.59,531.1312999999999,0,121,1,1,2,6.0,0.0,629694.528504478,557417.4558791174,0.0,0.0,3,0.0,3.0
1.0,2005,144307,1,Varón,38,Separado o divorciado,No paga ni le descuentan,Primaria Completa,Ocupado,Cuenta propia,,400.0,66.66666666666667,,...un sólo empleo/ocupación/actividad?,400.0,400.0,Sí,30 a 45 años,1.0,4.83,990.4881,1,1444,2,1,1,,1.0,419796.3523363187,1039508.2285313272,40.0,0.0,1,40.0,6.0
2.0,2005,144307,1,Mujer,17,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,400.0,66.66666666666667,,,0.0,0.0,,17 años,0.77,4.83,990.4881,1,289,1,4,2,1.0,9.0,419796.3523363187,1039508.2285313272,0.0,0.0,3,0.0,6.0
3.0,2005,144307,1,Varón,15,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,400.0,66.66666666666667,,,0.0,0.0,,15 años,1.0,4.83,990.4881,1,225,1,4,2,2.0,10.0,419796.3523363187,1039508.2285313272,0.0,0.0,3,0.0,6.0
4.0,2005,144307,1,Mujer,14,Soltero,No paga ni le descuentan,Secundaria Incompleta,Inactivo,,Estudiante,400.0,66.66666666666667,,,0.0,0.0,,14 años,0.76,4.83,990.4881,1,196,1,4,2,1.0,9.0,419796.3523363187,1039508.2285313272,0.0,0.0,3,0.0,6.0
5.0,2005,144307,1,Mujer,10,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Inactivo,,Estudiante,400.0,66.66666666666667,,,0.0,0.0,,10 años,0.7,4.83,990.4881,1,100,1,1,2,5.0,0.0,419796.3523363187,1039508.2285313272,0.0,0.0,3,0.0,6.0
6.0,2005,144307,1,Varón,5,Soltero,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Menor de 10 años,,Menor de 6 años,400.0,66.66666666666667,,,0.0,0.0,,5 años,0.6,4.83,990.4881,1,25,1,1,2,0.0,0.0,419796.3523363187,1039508.2285313272,0.0,0.0,3,0.0,6.0
1.0,2005,145280,1,Varón,39,Casado,No paga ni le descuentan,Primaria Incompleta (incluye educación especial),Ocupado,Obrero o empleado,,450.0,50.0,No,...un sólo empleo/ocupación/actividad?,150.0,150.0,Sí,30 a 45 años,1.0,6.96,1427.2872,1,1521,2,1,2,0.0,0.0,472270.89637835854,1497924.9007407944,20.0,0.0,1,20.0,9.0
